objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
Akeley-1908-Map-Box4-Folder2,Akeley-1908-Map-Box4-Folder2,,Map of the Champlain Valley,image/jpeg,"A hand drawn map of The Champlain, detailing Dr. Akeley's travels and observations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1908,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1908-Map-Box4-Folder2,Akeley-1908-Map-Box4-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1909-Vol4-Box4-Folder3,Akeley-1909-Vol4-Box4-Folder3,,"A Collection of Folklore and Culture of the Champlain Valley, Vermont By Doctor Henry Wentworth Akeley",image/jpeg,1 bound Volume (#4) (317 pages) The work focuses on the cultural development and storytelling of the Champlain region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",4/22/1909,,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1909-Vol4-Box4-Folder3,Akeley-1909-Vol4-Box4-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1910-Manuscript-Box5-Folder1,Akeley-1910-Manuscript-Box5-Folder1,,"The Green Mountain Region, collected notes",image/jpeg,"A collection of notes and observations from Dr. Akeley’s travels around The Green Mountain Region, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1910,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1910-Manuscript-Box5-Folder1,Akeley-1910-Manuscript-Box5-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1910-Map-Box5-Folder2,Akeley-1910-Map-Box5-Folder2,,Map of the Green Mountian Region,image/jpeg,"A hand drawn map of The Green Mountain Region, detailing Dr. Akeley's travels and observations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1910,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1910-Map-Box5-Folder2,Akeley-1910-Map-Box5-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1909-Vol5-Box5-Folder3,Akeley-1909-Vol5-Box5-Folder3,,"A Collection of Folklore and Culture of the Green Mountain Region, Vermont By Doctor Henry Wentworth Akeley",image/jpeg,1 bound Volume (#5) (302 pages) The work focuses on the cultural development and storytelling of the Green Mountian region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",9/1/1911,,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1909-Vol5-Box5-Folder3,Akeley-1909-Vol5-Box5-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1912-Manuscript-Box6-Folder1,Akeley-1912-Manuscript-Box6-Folder1,,"The Northeast Kingdom, collected notes",image/jpeg,"A collection of notes and observations from Dr. Akeley’s travels around The Northeast Kingdom, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1912,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1912-Manuscript-Box6-Folder1,Akeley-1912-Manuscript-Box6-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1912-Map-Box6-Folder2,Akeley-1912-Map-Box6-Folder2,,Map of the Northeast Kingdom,image/jpeg,"A hand drawn map of The Northeast Kingdom, detailing Dr. Akeley's travels and observations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1912,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1912-Map-Box6-Folder2,Akeley-1912-Map-Box6-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1913-Vol6-Box6-Folder3,Akeley-1913-Vol6-Box6-Folder3,,"A Collection of Folklore and Culture of the Northeast Kingdom, Vermont By Doctor Henry Wentworth Akeley",image/jpeg,1 bound Volume (#6) (276 pages) The work focuses on the cultural development and storytelling of the Northeast Kingdom region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",8/11/1913,,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1913-Vol6-Box6-Folder3,Akeley-1913-Vol6-Box6-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1914-Manuscript-Box7-Folder1,Akeley-1914-Manuscript-Box7-Folder1,,"Bennington County, collected notes",image/jpeg,"A collection of notes and observations from Dr. Akeley’s travels around Bennington County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1914,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1914-Manuscript-Box7-Folder1,Akeley-1914-Manuscript-Box7-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1914-Map-Box7-Folder2,Akeley-1914-Map-Box7-Folder2,,Map of Bennington County,image/jpeg,"A hand drawn map of Bennington County, detailing Dr. Akeley's travels and observations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1914,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1914-Map-Box7-Folder2,Akeley-1914-Map-Box7-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1915-Vol7-Box7-Folder3,Akeley-1915-Vol7-Box7-Folder3,,"A Collection of Folklore and Culture of Bennington County, Vermont By Doctor Henry Wentworth Akeley",image/jpeg,1 bound Volume (#7) (332 pages) The work focuses on the cultural development and storytelling of the Bennington County region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",4/5/1915,,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1915-Vol7-Box7-Folder3,Akeley-1915-Vol7-Box7-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1916-Manuscript-Box8-Folder1,Akeley-1916-Manuscript-Box8-Folder1,,"Chittenden County, collected notes",image/jpeg,"A collection of notes and observations from Dr. Akeley’s travels around Chittenden County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1916,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1916-Manuscript-Box8-Folder1,Akeley-1916-Manuscript-Box8-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1916-Map-Box8-Folder2,Akeley-1916-Map-Box8-Folder2,,Map of Chittenden County,image/jpeg,"A hand drawn map of Chittenden County, detailing Dr. Akeley's travels and observations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1916,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1916-Map-Box8-Folder2,Akeley-1916-Map-Box8-Folder2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1917-Vol8-Box8-Folder3,Akeley-1917-Vol8-Box8-Folder3,,"A Collection of Folklore and Culture of Chittenden County, Vermont By Doctor Henry Wentworth Akeley",image/jpeg,1 bound Volume (#8) (298 pages) The work focuses on the cultural development and storytelling of the Chittenden region of Vermont with focus on how these developed as mulitiple communities and peoples of different belief systems began to meld together,Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",3/16/1917,,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1917-Vol8-Box8-Folder3,Akeley-1917-Vol8-Box8-Folder3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
Akeley-1918-Manuscript-Box9-Folder1,Akeley-1918-Manuscript-Box9-Folder1,,"Franklin County, collected notes",image/jpeg,"A collection of notes and observations from Dr. Akeley’s travels around Franklin County, containing recorded oral interviews reguarding lived experiences, beliefs, and spoken history past along family generations.",Doctor Henry Wentworth Akeley,"Miskatonic University Library, Special Collections, Nicholas Struble",1918,yes,Scanned PDF,Folklore and Culture,"Vermont, USA",,,,"Miskatonic University Library, Special Collections",Dr. Henry Wentworth Akeley,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,Akeley-1918-Manuscript-Box9-Folder1,Akeley-1918-Manuscript-Box9-Folder1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,https://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana
